C,c1,c2,Time,R,EXP,c1,
,25,150,53.5,1.671691059,7,50,31
,25,150,53.5,1.670259306,7,50,31
,25,150,71,1.570189946,6,50,31
,25,150,71,1.617100185,6,50,31
,25,150,71,1.584623866,6,50,31
,25,150,94,1.025409713,6,50,31
,25,150,94,1.027815366,6,50,31
,25,150,94,1.115621711,6,50,31
,25,150,94.5,1.292276487,7,50,31
,25,150,94.5,1.202076042,7,50,31
,25,150,94.5,1.149101177,7,50,31
,25,150,120,0.916321985,7,50,31
,25,150,120,0.793191219,7,50,31
,25,150,120,0.730194082,7,50,31
,25,300,0,1.012488069,7,50,32
,25,300,26,1.402044225,7,50,32
,25,300,26,1.361955138,7,50,32
,25,300,26,1.357659879,7,50,32
,25,300,53.5,1.416839007,7,50,32
,25,300,53.5,1.472677378,7,50,32
,25,300,53.5,1.434020045,7,50,32
,25,300,94.5,1.336660834,7,50,32
,25,300,94.5,1.164850461,7,50,32
,25,300,94.5,1.361000636,7,50,32
,25,300,120,1.088132358,7,50,32
,25,300,120,0.98790964,7,50,32
,25,300,120,0.846166083,7,50,32
,30,0,0,0.957946508,9,30,33
,30,0,0,0.966235632,9,30,33
,30,0,29,1.151083112,9,30,33
,30,0,29,1.351679929,9,30,33
,30,0,29,1.326812555,9,30,33
,30,0,47,1.38428382,9,30,33
,30,0,47,1.589854111,9,30,33
,30,0,47,1.98938992,9,30,33
,30,0,103,1.523541114,9,30,33
,30,0,103,1.177055703,9,30,33
,30,0,103,1.866710875,9,30,33
,30,30,0,1.020943855,9,30,34
,30,30,0,0.972866932,9,30,34
,30,30,29,0.96209107,9,30,34
,30,30,29,1.07648099,9,30,34
,30,30,29,0.972038019,9,30,34
,30,30,47,1.351127321,9,30,34
,30,30,47,1.412466844,9,30,34
,30,30,47,1.709217507,9,30,34
,30,30,103,0.787466844,9,30,34
,30,30,103,0.860411141,9,30,34
,30,30,103,1.00795756,9,30,34
,30,100,0,0.943026083,9,30,35
,30,100,29,0.869252874,9,30,35
,30,100,29,0.84106985,9,30,35
,30,100,29,0.909040672,9,30,35
,30,100,47,1.223474801,9,30,35
,30,100,47,1.107427056,9,30,35
,30,100,47,1.173740053,9,30,35
,30,100,103,0.697944297,9,30,35
,30,100,103,0.789124668,9,30,35
,30,100,103,0.480769231,9,30,35
,30,300,0,0.987787356,9,30,36
,30,300,29,0.83443855,9,30,36
,30,300,29,0.996905393,9,30,36
,30,300,29,0.942197171,9,30,36
,30,300,47,0.996352785,9,30,36
,30,300,47,1.150530504,9,30,36
,30,300,47,1.022877984,9,30,36
,30,300,103,0.885278515,9,30,36
,30,300,103,0.795755968,9,30,36
,30,300,103,0.480769231,9,30,36
,30,1000,0,0.999392131,9,30,37
,30,1000,29,0.855990274,9,30,37
,30,1000,29,1.116268789,9,30,37
,30,1000,29,0.920645447,9,30,37
